
# === SESSION ===
key,value
timestamp,2026-07-02T00:49:50.023Z
version,2.7.189
round,12
day,0
globalDay,11
totalRounds,12
simMode,competitive
scenarioPreset,standard
powerGrid,independent
commsGrid,independent
daysPerRound,7

# === CONFIG_CONSTANTS ===
key,value,unit
score_pts_per_kg_ice,1,pts/kg
score_pts_per_asset_pt,15,pts/ap
score_penalty_per_violation,25,pts
score_carry_fraction,0.5,fraction
days_per_round,7,days
px_per_km,2,px/km
km_per_px,0.5,km/px
comsat_relay_radius_km,30.00,km
zone_core_km,1,km
zone_harmonization_km,5,km
zone_coordination_km,10,km
zone_display_scale,3,x
zone_core_render_km,3.00,km
zone_harmonization_render_km,15.00,km
zone_coordination_render_km,30.00,km
zone_tier_mult.core,1,xcore
zone_tier_mult.harmonization,5,xcore
zone_tier_mult.coordination,10,xcore
functional_reach.solar,2.89,km
functional_reach.habitat,14.43,km
functional_reach.pad,7.22,km
functional_reach.rover,1.44,km
functional_reach.reactor,5.78,km

# === INITIAL_CONDITIONS ===
key,value
map_width_px,1212
map_height_px,1212
km_per_px,0.5
px_per_km,2
totalRounds,12
scenarioPreset,standard
claimRadius_actorI_px,92.77777777777777
claimRadius_actorII_px,80
actorI_base_px,"553,703"
actorII_base_px,"1005,170"
actorIII_base_px,
actorI_stakeholder,Concordium
actorII_stakeholder,LRC

# === CRATERS ===
crater_idx,name,cx_px,cy_px,cx_km,cy_km,quality,size_px
ACTOR_I,solar,1,731,573,365.50,286.50,0.910,36,3,0,3.00,3.00,false
ACTOR_I,solar,2,551,616,275.50,308.00,1.000,130,12,0,3.00,3.00,false
ACTOR_I,reactor,0,706,524,353.00,262.00,0.890,10,1,0,3.00,3.00,false
ACTOR_I,reactor,1,598,441,299.00,220.50,0.950,68,7,0,3.00,3.00,false
ACTOR_I,reactor,2,545,696,272.50,348.00,0.990,110,11,0,3.00,3.00,false
ACTOR_I,habitat,0,696,524,348.00,262.00,0.710,4,1,0,3.00,3.00,false
ACTOR_I,habitat,1,605,639,302.50,319.50,0.540,28,2,0,3.00,3.00,false
ACTOR_I,habitat,2,598,442,299.00,221.00,0.770,64,7,0,3.00,3.00,false
ACTOR_I,habitat,3,733,572,366.50,286.00,0.950,78,7,0,3.00,3.00,false
ACTOR_I,habitat,4,559,703,279.50,351.50,0.990,98,11,0,3.00,3.00,false
ACTOR_I,habitat,5,539,607,269.50,303.50,1.000,124,12,0,3.00,3.00,false
ACTOR_I,pad,0,662,586,331.00,293.00,0.990,88,11,0,3.00,3.00,false
ACTOR_I,comsat,0,722,563,361.00,281.50,1.000,24,2,0,3.00,3.00,false
ACTOR_I,comsat,1,532,432,266.00,216.00,1.000,72,7,0,3.00,3.00,false
ACTOR_I,comsat,2,624,688,312.00,344.00,1.000,106,11,0,3.00,3.00,false
ACTOR_I,comsat,3,521,633,260.50,316.50,1.000,114,11,0,3.00,3.00,false
ACTOR_I,rover,0,599,639,299.50,319.50,1.000,2,,,3.00,3.00,false
ACTOR_I,rover,1,675,536,337.50,268.00,0.890,,,,3.00,3.00,false
ACTOR_I,rover,2,756,581,378.00,290.50,0.890,,,,3.00,3.00,false
ACTOR_I,rover,3,691,521,345.50,260.50,0.920,,,,3.00,3.00,false
ACTOR_I,rover,4,619,623,309.50,311.50,0.930,,,,3.00,3.00,false
ACTOR_I,rover,5,598,442,299.00,221.00,0.950,,,,3.00,3.00,false
ACTOR_I,rover,6,543,695,271.50,347.50,0.990,,,,3.00,3.00,false
ACTOR_I,rover,7,711,652,355.50,326.00,1.000,116,,,3.00,3.00,false
ACTOR_I,rover,8,506,605,253.00,302.50,1.000,118,,,3.00,3.00,false
ACTOR_I,solar,0,607,639,303.50,319.50,0.900,30,2,0,3.00,3.00,false
ACTOR_I,solar,1,731,573,365.50,286.50,0.910,36,3,0,3.00,3.00,false
ACTOR_I,solar,2,551,616,275.50,308.00,1.000,130,12,0,3.00,3.00,false
ACTOR_I,reactor,0,706,524,353.00,262.00,0.890,10,1,0,3.00,3.00,false
ACTOR_I,reactor,1,598,441,299.00,220.50,0.950,68,7,0,3.00,3.00,false
ACTOR_I,reactor,2,545,696,272.50,348.00,0.990,110,11,0,3.00,3.00,false
ACTOR_I,habitat,0,696,524,348.00,262.00,0.710,4,1,0,3.00,3.00,false
ACTOR_I,habitat,1,605,639,302.50,319.50,0.540,28,2,0,3.00,3.00,false
ACTOR_I,habitat,2,598,442,299.00,221.00,0.770,64,7,0,3.00,3.00,false
ACTOR_I,habitat,3,733,572,366.50,286.00,0.950,78,7,0,3.00,3.00,false
ACTOR_I,habitat,4,559,703,279.50,351.50,0.990,98,11,0,3.00,3.00,false
ACTOR_I,habitat,5,539,607,269.50,303.50,1.000,124,12,0,3.00,3.00,false
ACTOR_I,pad,0,662,586,331.00,293.00,0.990,88,11,0,3.00,3.00,false
ACTOR_I,comsat,0,722,563,361.00,281.50,1.000,24,2,0,3.00,3.00,false
ACTOR_I,comsat,1,532,432,266.00,216.00,1.000,72,7,0,3.00,3.00,false
ACTOR_I,comsat,2,624,688,312.00,344.00,1.000,106,11,0,3.00,3.00,false
ACTOR_I,comsat,3,521,633,260.50,316.50,1.000,114,11,0,3.00,3.00,false
ACTOR_I,rover,0,599,639,299.50,319.50,1.000,2,,,3.00,3.00,false
ACTOR_I,rover,1,675,536,337.50,268.00,0.890,,,,3.00,3.00,false
ACTOR_I,rover,2,756,581,378.00,290.50,0.890,,,,3.00,3.00,false
ACTOR_I,rover,3,691,521,345.50,260.50,0.920,,,,3.00,3.00,false
ACTOR_I,rover,4,619,623,309.50,311.50,0.930,,,,3.00,3.00,false
ACTOR_I,rover,5,598,442,299.00,221.00,0.950,,,,3.00,3.00,false
ACTOR_I,rover,6,543,695,271.50,347.50,0.990,,,,3.00,3.00,false
ACTOR_I,rover,7,711,652,355.50,326.00,1.000,116,,,3.00,3.00,false
ACTOR_I,rover,8,506,605,253.00,302.50,1.000,118,,,3.00,3.00,false
ACTOR_II,solar,0,636,510,318.00,255.00,0.900,32,2,0,3.00,3.00,false
ACTOR_II,solar,1,741,614,370.50,307.00,0.950,58,7,0,3.00,3.00,false
ACTOR_II,solar,2,590,623,295.00,311.50,0.950,66,7,0,3.00,3.00,false
ACTOR_II,solar,3,761,441,380.50,220.50,0.990,92,11,0,3.00,3.00,false
ACTOR_II,solar,4,784,492,392.00,246.00,1.000,122,12,0,3.00,3.00,false
ACTOR_II,reactor,0,673,503,336.50,251.50,0.910,40,3,0,3.00,3.00,false
ACTOR_II,reactor,1,609,469,304.50,234.50,0.960,80,8,0,3.00,3.00,false
ACTOR_II,habitat,0,679,503,339.50,251.50,0.890,12,1,0,3.00,3.00,false
ACTOR_II,habitat,1,635,512,317.50,256.00,0.910,34,3,0,3.00,3.00,false
ACTOR_II,habitat,2,590,621,295.00,310.50,0.930,52,5,0,3.00,3.00,false
ACTOR_II,habitat,3,740,612,370.00,306.00,0.950,56,7,0,3.00,3.00,false
ACTOR_II,habitat,4,609,468,304.50,234.00,0.950,74,7,0,3.00,3.00,false
ACTOR_II,habitat,5,763,439,381.50,219.50,0.990,90,11,0,3.00,3.00,false
ACTOR_II,habitat,6,785,492,392.50,246.00,1.000,120,12,0,3.00,3.00,false
ACTOR_II,habitat,7,741,462,370.50,231.00,1.000,134,12,0,3.00,3.00,false
ACTOR_II,pad,0,630,501,315.00,250.50,0.920,42,4,0,3.00,3.00,false
ACTOR_II,pad,1,649,487,324.50,243.50,0.990,108,11,0,3.00,3.00,false
ACTOR_II,comsat,0,624,485,312.00,242.50,1.000,14,1,0,3.00,3.00,false
ACTOR_II,comsat,1,701,508,350.50,254.00,1.000,26,2,0,3.00,3.00,false
ACTOR_II,comsat,2,800,605,400.00,302.50,1.000,62,7,0,3.00,3.00,false
ACTOR_II,comsat,3,771,461,385.50,230.50,1.000,94,11,0,3.00,3.00,false
ACTOR_II,comsat,4,697,428,348.50,214.00,1.000,100,11,0,3.00,3.00,false
ACTOR_II,rover,0,898,278,449.00,139.00,1.000,1,,,3.00,3.00,false
ACTOR_II,rover,1,630,485,315.00,242.50,0.890,,,,3.00,3.00,false
ACTOR_II,rover,2,680,522,340.00,261.00,0.890,,,,3.00,3.00,false
ACTOR_II,rover,3,692,513,346.00,256.50,0.890,,,,3.00,3.00,false
ACTOR_II,rover,4,692,500,346.00,250.00,0.890,,,,3.00,3.00,false
ACTOR_II,rover,5,619,483,309.50,241.50,0.910,,,,3.00,3.00,false
ACTOR_II,rover,6,621,486,310.50,243.00,0.920,,,,3.00,3.00,false
ACTOR_II,rover,7,618,476,309.00,238.00,0.920,,,,3.00,3.00,false
ACTOR_II,rover,8,604,601,302.00,300.50,0.930,,,,3.00,3.00,false
ACTOR_II,rover,9,762,600,381.00,300.00,0.950,,,,3.00,3.00,false
ACTOR_II,rover,10,623,455,311.50,227.50,0.950,,,,3.00,3.00,false
ACTOR_II,rover,11,592,471,296.00,235.50,0.960,,,,3.00,3.00,false
ACTOR_II,rover,12,621,451,310.50,225.50,0.990,,,,3.00,3.00,false
ACTOR_II,rover,13,597,468,298.50,234.00,0.990,,,,3.00,3.00,false
ACTOR_II,rover,14,771,461,385.50,230.50,0.990,,,,3.00,3.00,false
ACTOR_II,rover,15,741,431,370.50,215.50,0.990,,,,3.00,3.00,false
ACTOR_II,rover,16,678,450,339.00,225.00,0.990,,,,3.00,3.00,false
ACTOR_II,rover,17,716,422,358.00,211.00,1.000,126,,,3.00,3.00,false
ACTOR_II,rover,18,679,425,339.50,212.50,1.000,128,,,3.00,3.00,false
ACTOR_II,rover,19,774,585,387.00,292.50,1.000,132,,,3.00,3.00,false

# === ZONE_FRAMEWORK_TIERS ===
tier_key,tier_label,radius_mult,color,access_rule
core,Core Operations,1,#D24B3E,operator only; breach scores a violation
harmonization,Harmonization,5,#C9A227,cross only with prior coordination / notification
coordination,Coordination Buffer,10,#7A7E88,overlap possible if it does not affect core ops
zone_core_render_km,3.00
zone_harmonization_render_km,15.00
zone_coordination_render_km,30.00

# === CHRISTINE_FRAMEWORK ===
tier,field_guide_area,canonical_ratio,canonical_km,map_render_km,scale_min,scale_max,overreach_weight
core,Exclusion,1,1,3.00,0.4,2,6
harmonization,EMI Caution,5,5,15.00,0.4,2,2
coordination,Plume Reach,10,10,30.00,0.4,2,0.5
zone_display_scale,,3,,,,,

# === ZONE_RINGS_BY_ASSET ===
actor,type,index,x_km,y_km,owner_mult,core_km,harmonization_km,coordination_km,core_base_km,harmonization_base_km,coordination_base_km
ACTOR_I,solar,0,303.50,319.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_I,solar,1,365.50,286.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_I,solar,2,275.50,308.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_I,reactor,0,353.00,262.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_I,reactor,1,299.00,220.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_I,reactor,2,272.50,348.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_I,habitat,0,348.00,262.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_I,habitat,1,302.50,319.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_I,habitat,2,299.00,221.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_I,habitat,3,366.50,286.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_I,habitat,4,279.50,351.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_I,habitat,5,269.50,303.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_I,pad,0,331.00,293.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_I,rover,0,299.50,319.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_I,rover,1,337.50,268.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_I,rover,2,378.00,290.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_I,rover,3,345.50,260.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_I,rover,4,309.50,311.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_I,rover,5,299.00,221.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
