
# === SESSION ===
key,value
timestamp,2026-07-02T00:49:50.023Z
version,2.7.189
round,12
day,0
globalDay,11
totalRounds,12
simMode,competitive
scenarioPreset,standard
powerGrid,independent
commsGrid,independent
daysPerRound,7

# === CONFIG_CONSTANTS ===
key,value,unit
score_pts_per_kg_ice,1,pts/kg
score_pts_per_asset_pt,15,pts/ap
score_penalty_per_violation,25,pts
score_carry_fraction,0.5,fraction
days_per_round,7,days
px_per_km,2,px/km
km_per_px,0.5,km/px
comsat_relay_radius_km,30.00,km
zone_core_km,1,km
zone_harmonization_km,5,km
zone_coordination_km,10,km
zone_display_scale,3,x
zone_core_render_km,3.00,km
zone_harmonization_render_km,15.00,km
zone_coordination_render_km,30.00,km
zone_tier_mult.core,1,xcore
zone_tier_mult.harmonization,5,xcore
zone_tier_mult.coordination,10,xcore
functional_reach.solar,2.89,km
functional_reach.habitat,14.43,km
functional_reach.pad,7.22,km
functional_reach.rover,1.44,km
functional_reach.reactor,5.78,km

# === INITIAL_CONDITIONS ===
key,value
map_width_px,1212
map_height_px,1212
km_per_px,0.5
px_per_km,2
totalRounds,12
scenarioPreset,standard
claimRadius_actorI_px,92.77777777777777
claimRadius_actorII_px,80
actorI_base_px,"553,703"
actorII_base_px,"1005,170"
actorIII_base_px,
actorI_stakeholder,Concordium
actorII_stakeholder,LRC

# === CRATERS ===
crater_idx,name,cx_px,cy_px,cx_km,cy_km,quality,size_px
ACTOR_I,habitat,4,279.50,351.50,ACTOR_II,rover,1,315.00,242.50,114.64,3.00,15.00,30.00,outside
ACTOR_I,habitat,4,279.50,351.50,ACTOR_II,rover,2,340.00,261.00,108.86,3.00,15.00,30.00,outside
ACTOR_I,habitat,4,279.50,351.50,ACTOR_II,rover,3,346.00,256.50,115.96,3.00,15.00,30.00,outside
ACTOR_I,habitat,4,279.50,351.50,ACTOR_II,rover,4,346.00,250.00,121.34,3.00,15.00,30.00,outside
ACTOR_I,habitat,4,279.50,351.50,ACTOR_II,rover,5,309.50,241.50,114.02,3.00,15.00,30.00,outside
ACTOR_I,habitat,4,279.50,351.50,ACTOR_II,rover,6,310.50,243.00,112.84,3.00,15.00,30.00,outside
ACTOR_I,habitat,4,279.50,351.50,ACTOR_II,rover,7,309.00,238.00,117.27,3.00,15.00,30.00,outside
ACTOR_I,habitat,4,279.50,351.50,ACTOR_II,rover,8,302.00,300.50,55.74,3.00,15.00,30.00,outside
ACTOR_I,habitat,4,279.50,351.50,ACTOR_II,rover,9,381.00,300.00,113.82,3.00,15.00,30.00,outside
ACTOR_I,habitat,4,279.50,351.50,ACTOR_II,rover,10,311.50,227.50,128.06,3.00,15.00,30.00,outside
ACTOR_I,habitat,4,279.50,351.50,ACTOR_II,rover,11,296.00,235.50,117.17,3.00,15.00,30.00,outside
ACTOR_I,habitat,4,279.50,351.50,ACTOR_II,rover,12,310.50,225.50,129.76,3.00,15.00,30.00,outside
ACTOR_I,habitat,4,279.50,351.50,ACTOR_II,rover,13,298.50,234.00,119.03,3.00,15.00,30.00,outside
ACTOR_I,habitat,4,279.50,351.50,ACTOR_II,rover,14,385.50,230.50,160.86,3.00,15.00,30.00,outside
ACTOR_I,habitat,4,279.50,351.50,ACTOR_II,rover,15,370.50,215.50,163.64,3.00,15.00,30.00,outside
ACTOR_I,habitat,4,279.50,351.50,ACTOR_II,rover,16,339.00,225.00,139.79,3.00,15.00,30.00,outside
ACTOR_I,habitat,4,279.50,351.50,ACTOR_II,rover,17,358.00,211.00,160.94,3.00,15.00,30.00,outside
ACTOR_I,habitat,4,279.50,351.50,ACTOR_II,rover,18,339.50,212.50,151.40,3.00,15.00,30.00,outside
ACTOR_I,habitat,4,279.50,351.50,ACTOR_II,rover,19,387.00,292.50,122.63,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,solar,0,318.00,255.00,68.59,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,solar,1,370.50,307.00,101.06,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,solar,2,295.00,311.50,26.73,3.00,15.00,30.00,coordination
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,solar,3,380.50,220.50,138.60,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,solar,4,392.00,246.00,135.32,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,reactor,0,336.50,251.50,84.81,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,reactor,1,304.50,234.50,77.37,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,habitat,0,339.50,251.50,87.20,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,habitat,1,317.50,256.00,67.53,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,habitat,2,295.00,310.50,26.44,3.00,15.00,30.00,coordination
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,habitat,3,370.00,306.00,100.53,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,habitat,4,304.50,234.00,77.82,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,habitat,5,381.50,219.50,140.00,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,habitat,6,392.50,246.00,135.78,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,habitat,7,370.50,231.00,124.33,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,pad,0,315.00,250.50,69.85,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,pad,1,324.50,243.50,81.39,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,comsat,0,312.00,242.50,74.35,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,comsat,1,350.50,254.00,94.93,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,comsat,2,400.00,302.50,130.50,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,comsat,3,385.50,230.50,137.06,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,comsat,4,348.50,214.00,119.38,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,rover,0,449.00,139.00,243.48,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,rover,1,315.00,242.50,76.10,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,rover,2,340.00,261.00,82.32,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,rover,3,346.00,256.50,89.78,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,rover,4,346.00,250.00,93.35,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,rover,5,309.50,241.50,73.78,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,rover,6,310.50,243.00,73.08,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,rover,7,309.00,238.00,76.49,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,rover,8,302.00,300.50,32.64,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,rover,9,381.00,300.00,111.55,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,rover,10,311.50,227.50,86.83,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,rover,11,296.00,235.50,72.98,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,rover,12,310.50,225.50,88.12,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,rover,13,298.50,234.00,75.31,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,rover,14,385.50,230.50,137.06,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,rover,15,370.50,215.50,133.96,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,rover,16,339.00,225.00,104.85,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,rover,17,358.00,211.00,128.02,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,rover,18,339.50,212.50,114.81,3.00,15.00,30.00,outside
ACTOR_I,habitat,5,269.50,303.50,ACTOR_II,rover,19,387.00,292.50,118.01,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,solar,0,318.00,255.00,40.16,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,solar,1,370.50,307.00,41.91,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,solar,2,295.00,311.50,40.48,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,solar,3,380.50,220.50,87.79,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,solar,4,392.00,246.00,77.01,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,reactor,0,336.50,251.50,41.86,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,reactor,1,304.50,234.50,64.22,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,habitat,0,339.50,251.50,42.36,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,habitat,1,317.50,256.00,39.39,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,habitat,2,295.00,310.50,40.03,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,habitat,3,370.00,306.00,41.11,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,habitat,4,304.50,234.00,64.68,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,habitat,5,381.50,219.50,89.18,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,habitat,6,392.50,246.00,77.40,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,habitat,7,370.50,231.00,73.51,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,pad,0,315.00,250.50,45.41,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,pad,1,324.50,243.50,49.92,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,comsat,0,312.00,242.50,53.96,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,comsat,1,350.50,254.00,43.60,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,comsat,2,400.00,302.50,69.65,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,comsat,3,385.50,230.50,82.92,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,comsat,4,348.50,214.00,80.92,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,rover,0,449.00,139.00,194.01,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,rover,1,315.00,242.50,52.97,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,rover,2,340.00,261.00,33.24,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,rover,3,346.00,256.50,39.46,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,rover,4,346.00,250.00,45.54,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,rover,5,309.50,241.50,55.81,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,rover,6,310.50,243.00,54.04,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,rover,7,309.00,238.00,59.24,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,rover,8,302.00,300.50,29.95,3.00,15.00,30.00,coordination
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,rover,9,381.00,300.00,50.49,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,rover,10,311.50,227.50,68.34,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,rover,11,296.00,235.50,67.31,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,rover,12,310.50,225.50,70.54,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,rover,13,298.50,234.00,67.36,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,rover,14,385.50,230.50,82.92,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,rover,15,370.50,215.50,86.99,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,rover,16,339.00,225.00,68.47,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,rover,17,358.00,211.00,86.33,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,rover,18,339.50,212.50,80.95,3.00,15.00,30.00,outside
ACTOR_I,pad,0,331.00,293.00,ACTOR_II,rover,19,387.00,292.50,56.00,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,solar,0,318.00,255.00,67.10,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,solar,1,370.50,307.00,72.09,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,solar,2,295.00,311.50,9.18,3.00,15.00,30.00,harmonization
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,solar,3,380.50,220.50,127.91,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,solar,4,392.00,246.00,118.15,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,reactor,0,336.50,251.50,77.41,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,reactor,1,304.50,234.50,85.15,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,habitat,0,339.50,251.50,78.89,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,habitat,1,317.50,256.00,66.00,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,habitat,2,295.00,310.50,10.06,3.00,15.00,30.00,harmonization
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,habitat,3,370.00,306.00,71.78,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,habitat,4,304.50,234.00,85.65,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,habitat,5,381.50,219.50,129.32,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,habitat,6,392.50,246.00,118.54,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,habitat,7,370.50,231.00,113.46,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,pad,0,315.00,250.50,70.72,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,pad,1,324.50,243.50,80.01,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,comsat,0,312.00,242.50,78.01,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,comsat,1,350.50,254.00,83.01,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,comsat,2,400.00,302.50,101.93,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,comsat,3,385.50,230.50,123.76,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,comsat,4,348.50,214.00,116.32,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,rover,0,449.00,139.00,234.37,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,rover,1,315.00,242.50,78.54,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,rover,2,340.00,261.00,71.15,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,rover,3,346.00,256.50,78.30,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,rover,4,346.00,250.00,83.62,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,rover,5,309.50,241.50,78.64,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,rover,6,310.50,243.00,77.29,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,rover,7,309.00,238.00,82.05,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,rover,8,302.00,300.50,19.16,3.00,15.00,30.00,coordination
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,rover,9,381.00,300.00,83.80,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,rover,10,311.50,227.50,92.78,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,rover,11,296.00,235.50,84.07,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,rover,12,310.50,225.50,94.64,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,rover,13,298.50,234.00,85.51,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,rover,14,385.50,230.50,123.76,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,rover,15,370.50,215.50,125.92,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,rover,16,339.00,225.00,102.42,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,rover,17,358.00,211.00,123.27,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,rover,18,339.50,212.50,114.23,3.00,15.00,30.00,outside
ACTOR_I,rover,0,299.50,319.50,ACTOR_II,rover,19,387.00,292.50,91.57,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,solar,0,318.00,255.00,23.44,3.00,15.00,30.00,coordination
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,solar,1,370.50,307.00,51.09,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,solar,2,295.00,311.50,60.82,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,solar,3,380.50,220.50,64.07,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,solar,4,392.00,246.00,58.77,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,reactor,0,336.50,251.50,16.53,3.00,15.00,30.00,coordination
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,reactor,1,304.50,234.50,47.02,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,habitat,0,339.50,251.50,16.62,3.00,15.00,30.00,coordination
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,habitat,1,317.50,256.00,23.32,3.00,15.00,30.00,coordination
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,habitat,2,295.00,310.50,60.10,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,habitat,3,370.00,306.00,50.00,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,habitat,4,304.50,234.00,47.38,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,habitat,5,381.50,219.50,65.48,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,habitat,6,392.50,246.00,59.24,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,habitat,7,370.50,231.00,49.58,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,pad,0,315.00,250.50,28.50,3.00,15.00,30.00,coordination
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,pad,1,324.50,243.50,27.74,3.00,15.00,30.00,coordination
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,comsat,0,312.00,242.50,36.06,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,comsat,1,350.50,254.00,19.10,3.00,15.00,30.00,coordination
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,comsat,2,400.00,302.50,71.39,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,comsat,3,385.50,230.50,60.91,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,comsat,4,348.50,214.00,55.11,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,rover,0,449.00,139.00,170.51,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,rover,1,315.00,242.50,34.01,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,rover,2,340.00,261.00,7.43,3.00,15.00,30.00,harmonization
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,rover,3,346.00,256.50,14.30,3.00,15.00,30.00,harmonization
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,rover,4,346.00,250.00,19.91,3.00,15.00,30.00,coordination
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,rover,5,309.50,241.50,38.55,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,rover,6,310.50,243.00,36.80,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,rover,7,309.00,238.00,41.38,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,rover,8,302.00,300.50,48.13,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,rover,9,381.00,300.00,54.00,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,rover,10,311.50,227.50,48.13,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,rover,11,296.00,235.50,52.71,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,rover,12,310.50,225.50,50.35,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,rover,13,298.50,234.00,51.74,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,rover,14,385.50,230.50,60.91,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,rover,15,370.50,215.50,62.01,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,rover,16,339.00,225.00,43.03,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,rover,17,358.00,211.00,60.57,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,rover,18,339.50,212.50,55.54,3.00,15.00,30.00,outside
ACTOR_I,rover,1,337.50,268.00,ACTOR_II,rover,19,387.00,292.50,55.23,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,solar,0,318.00,255.00,69.72,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,solar,1,370.50,307.00,18.12,3.00,15.00,30.00,coordination
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,solar,2,295.00,311.50,85.62,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,solar,3,380.50,220.50,70.04,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,solar,4,392.00,246.00,46.65,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,reactor,0,336.50,251.50,56.95,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,reactor,1,304.50,234.50,92.40,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,habitat,0,339.50,251.50,54.80,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,habitat,1,317.50,256.00,69.65,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,habitat,2,295.00,310.50,85.38,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,habitat,3,370.00,306.00,17.44,3.00,15.00,30.00,coordination
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,habitat,4,304.50,234.00,92.71,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,habitat,5,381.50,219.50,71.09,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,habitat,6,392.50,246.00,46.80,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,habitat,7,370.50,231.00,59.97,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,pad,0,315.00,250.50,74.63,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,pad,1,324.50,243.50,71.21,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,comsat,0,312.00,242.50,81.61,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,comsat,1,350.50,254.00,45.70,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,comsat,2,400.00,302.50,25.06,3.00,15.00,30.00,coordination
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,comsat,3,385.50,230.50,60.47,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,comsat,4,348.50,214.00,81.99,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,rover,0,449.00,139.00,167.31,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,rover,1,315.00,242.50,79.20,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,rover,2,340.00,261.00,48.11,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,rover,3,346.00,256.50,46.69,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,rover,4,346.00,250.00,51.62,3.00,15.00,30.00,outside
ACTOR_I,rover,2,378.00,290.50,ACTOR_II,rover,5,309.50,241.50,84.22,3.00,15.00,30.00,outside
