battery_id,run_id,seed,scenario,total_rounds,mission_end,arrival_delay,grid_sharing,grid_permanent,winner,score1,score2,score_gap,ice1_kg,ice2_kg,ap1,ap2,vio1,vio2,dep_blocked1,dep_blocked2,strand_risk1,strand_risk2,stranded1,stranded2,unpow_hab1,unpow_hab2,offers,joins,decouples,shared_days,contested_days,craters_depleted,duration_days,extracted_kg,extracted_pct,rovers1,rovers2,habitats1,habitats2,reactors1,reactors2,governance,strand_pen_days1,strand_pen_days2,rescues1,rescues2,strand_night,strand_far,strand_other,reserve1_kg,reserve2_kg
baseline,baseline_21,1592807999,standard,12,fixed,5,1,0,1,-575.0,-2310.0,1735.0,770.0,150.0,141,171,144,207,1,0,0,0,0,0,10,0,6,6,5,62,1,0,84,1160.0,3.54,3,3,2,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_22,1592817972,standard,12,fixed,5,1,0,2,-2348.3,-20.0,-2328.3,146.7,230.0,173,209,212,150,0,0,10,10,0,0,0,10,13,7,6,62,1,0,84,766.7,2.34,3,3,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_23,1592827945,standard,12,fixed,5,1,0,1,80.5,-490.0,570.5,469.5,310.0,73,39,68,71,0,0,3,0,0,0,3,10,17,17,16,42,0,0,84,1009.5,3.08,3,3,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_24,1592837918,standard,12,fixed,5,1,0,2,620.5,2105.1,-1484.6,389.5,140.1,55,201,29,58,0,0,1,0,0,0,3,0,14,14,14,34,0,0,84,769.6,2.35,2,3,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_25,1592847891,standard,12,fixed,5,1,0,2,-2573.9,200.0,-2773.9,141.1,620.0,173,189,221,143,0,5,11,0,0,0,0,10,15,8,8,59,1,0,84,991.1,3.03,3,3,1,4,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_26,1592857864,standard,12,fixed,5,1,0,2,1485.0,2283.6,-798.6,380.0,148.6,89,125,26,0,2,0,0,2,0,0,20,0,24,24,23,25,0,0,84,528.6,1.61,3,2,6,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_27,1592867837,standard,12,fixed,5,1,0,1,2223.6,1217.0,1006.6,148.6,840.0,127,49,0,25,0,0,1,0,0,0,0,11,15,15,14,46,0,0,84,988.6,3.02,2,3,1,2,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_28,1592877810,standard,12,fixed,5,1,0,1,2053.6,2025.0,28.6,148.6,150.0,127,127,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,84,298.6,0.91,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_29,1592887783,standard,12,fixed,5,1,0,2,-4285.5,-4265.5,-20.0,229.5,229.5,32,32,201,201,0,0,0,0,0,0,0,0,2,1,0,82,3,0,84,459.1,1.40,3,3,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_30,1592897756,standard,12,fixed,5,1,0,1,1011.5,-3708.9,4720.4,141.5,298.1,171,61,91,200,0,0,0,0,0,0,0,4,17,15,15,39,0,0,84,759.6,2.32,3,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_31,1592907729,standard,12,fixed,5,1,0,2,1365.5,2038.1,-672.5,389.5,133.1,63,127,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,84,602.6,1.84,3,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
